题号,题目,类型,难度,介绍,思路,第一轮完成情况,第二轮完成情况,题目链接
319,灯泡开关,数学,medium,初始时有 n 个灯泡关闭。 第 1 轮，你打开所有的灯泡。 第 2 轮，每两个灯泡你关闭一次。 第 3 轮，每三个灯泡切换一次开关（如果关闭则开启，如果开启则关闭）。第 i 轮，每 i 个灯泡切换一次开关。 对于第 n 轮，你只切换最后一个灯泡的开关。 找出 n 轮后有多少个亮着的灯泡。,return sqrt(n),√,,https://leetcode-cn.com/problems/bulb-switcher/
322,零钱兑换,动态规划,medium,给定不同面额的硬币 coins 和一个总金额 amount。编写一个函数来计算可以凑成总金额所需的最少的硬币个数。如果没有任何一种硬币组合能组成总金额，返回 -1。,"直接动态规划即可，从1直到amount，dp[i] = min(dp[coins[0]] + 1, dp[coins[1]] + 1 ….)",√√ ,,https://leetcode-cn.com/problems/coin-change/solution/ling-qian-dui-huan-by-leetcode/
323,无向图中连通分量的个数,并查集,medium,,这个题是并查集的典型应用，直接套模板,√ ,,https://leetcode-cn.com/problems/number-of-connected-components-in-an-undirected-graph/
328,奇偶链表,链表,medium,给定一个单链表，把所有的奇数节点和偶数节点分别排在一起。请注意，这里的奇数节点和偶数节点指的是节点编号的奇偶性，而不是节点的值的奇偶性。,先找到尾部，将尾部链到偶数个节点位置。分奇偶情况讨论。,√√,,https://leetcode-cn.com/problems/odd-even-linked-list/
332,重新安排行程,DFS、图,medium,"给定一个机票的字符串二维数组 [from, to]，子数组中的两个成员分别表示飞机出发和降落的机场地点，对该行程进行重新规划排序。所有这些机票都属于一个从JFK（肯尼迪国际机场）出发的先生，所以该行程必须从 JFK 出发.
如果有多种答案，还要求返回字典序最小的。","这个题本质上是求一条欧拉路径（即从图中的一个点出发，经过所有的边，并且每个边都经过且只能经过一次）。
方法在于正常做DFS遍历，但是只有当从这个点出发没有新的行程之后，才将这个点加入结果list当中，最后将结果list给reverse一下就是最终答案。
这个题关键在于要注意一些特殊情况，有些情况用普通的顺序DFS是不行的，因为会走到死胡同里出不来，最后不能满足经过所有的边的题目要求。",× ,,https://leetcode-cn.com/problems/reconstruct-itinerary/
334,递增的三元子序列,,medium,"给定一个未排序的数组，判断这个数组中是否存在长度为 3 的递增子序列。
要求时间复杂度O(n), 空间O(1)","维护一个大小为3的子序列数组，使子序列尽量小。当前数字为{1, 4}，如果遇到2 ，则更新为{1, 2}； 当前数字为{2, 4}，如果遇到1，则更新为{1,4}，4的存在其实不要紧，会被替换掉的。",×,,https://leetcode-cn.com/problems/increasing-triplet-subsequence/
341,扁平化嵌套列表迭代器,栈、设计,medium,给定一个嵌套的整型列表。设计一个迭代器，使其能够遍历这个整型列表中的所有整数。,这里用递归做会简单一些。。用栈稍微麻烦。说是迭代器，但是题解中的人都是在构造迭代器的时候就把所有的数都读取完存到数组里了。,√,,https://leetcode-cn.com/problems/flatten-nested-list-iterator/
347,前k个高频元素,堆、哈希表,medium,给定一个非空的整数数组，返回其中出现频率前 k 高的元素。你的算法的时间复杂度必须优于 O(n log n),"先构建一个<数字, 出现次数>的哈希表。
构建一个优先队列，将哈希表做排序，然后取队列的前k个数字即可",√√,,https://leetcode-cn.com/problems/top-k-frequent-elements/
348,判定井字棋胜负,设计,medium,您有没有可能将每一步的 move() 操作优化到比 O(n2) 更快吗?,每当有人落子后，检查该子对应的横、竖、斜行进行检查,√√,,https://leetcode-cn.com/problems/design-tic-tac-toe/
353,贪吃蛇,设计、队列,medium,要求设计一个贪吃蛇类，每当给出一个操作时，对蛇进行相关操作，计分，判断蛇的死活等。,其实就是用队列来存蛇的蛇头到蛇尾，然后注意判断是否撞墙和吃到自己，是否吃到豆等情况。,√√,,https://leetcode-cn.com/problems/design-snake-game/
355,设计推特,堆、设计、哈希表,medium,要求设计一个简化版的推特，实现关注、取关，发推特。并且要求查看最近十条推文。,这个题的难点就在于查看最近十条推文的要求，因为要从自己关注的所有人（包括自己）的所有推特中找到前10条。其实也没什么好方法，只能为整个类设计一个全局变量记录推特的id，用一个哈希表存每个用户发的推特，一个哈希表存每个用户所关注的其他用户。,√√,,https://leetcode-cn.com/problems/design-twitter/
357,计算各个位数不同的数字个数,数学、动态规划、回溯,medium,给定一个非负整数n，计算各位数字都不同的数字x的个数。,。。。没啥好办法。。。 直接硬编码返回的。第二轮有时间再好好看看正规解法吧。,√,,https://leetcode-cn.com/problems/count-numbers-with-unique-digits/
372,超级次方,数学,medium,计算 a^b 对 1337 取模，a 是一个正整数，b 是一个非常大的正整数且会以数组形式给出。,"需要用到公式：(x*y)%k = (x%k)(y%k)%k，例如:
2^12345 % k = ((2^1234)^10 % k) * (2 ^ 5 % k) % k",×,,https://leetcode-cn.com/problems/super-pow/
378,有序矩阵中第k小的元素,堆、二分查找,medium,"给定一个 n x n 矩阵，其中每行和每列元素均按升序排序，找到矩阵中第k小的元素。
请注意，它是排序后的第k小元素，而不是第k个元素。","1. 直接暴力排序，但是相当于丢失了矩阵原有的顺序信息。O(nlogn)，空间O(n)
2. 二分查找（没懂）
3. n路归并，实现出来比暴力法还慢，其实也丢失了信息
4. 最小堆（没懂）",√,,https://leetcode-cn.com/problems/kth-smallest-element-in-a-sorted-matrix/submissions/
380,常数时间插入、删除和获取随机元素,设计、数组、哈希表,medium,,查找时间为O(1)，明显只有哈希表才能实现,√√,,https://leetcode-cn.com/problems/insert-delete-getrandom-o1/
384,打乱数组,,medium,"打乱一个没有重复元素的数组。
垃圾题，直接拿python写了.","newList = copy.deepcopy(self.originalList)
random.shuffle(newList)",√√,,https://leetcode-cn.com/problems/shuffle-an-array/
395,至少有K个重复字符的最长子串,,medium,找到给定字符串（由小写字符组成）中的最长子串 T ， 要求 T 中的每一字符出现次数都不少于 k 。输出 T 的长度。,要用递归解法，分治，每次用不可能出现在结果中的字符将字符串分割为两部分或直接n部分，然后对这n部分做递归，即可找到最长结果,√,,https://leetcode-cn.com/problems/longest-substring-with-at-least-k-repeating-characters/
399,除法求值,并查集、图,medium,"给出方程式 A / B = k, 其中 A 和 B 均为代表字符串的变量， k 是一个浮点型数字。根据已知方程式求解问题，并返回计算结果。如果结果不存在，则返回 -1.0。","相当于给出一大堆除法的式子，然后再给出一堆式子让求值。其实关键在于把给定的每个式子当做图上的一条 加权边 ，每个字母当做边的两个端点，然后对每个新式子，用BFS从该点出发搜就行了。
其实更好的办法是用并查集，例如要求B / C，这个集合中A是头，那么只要有A/B的值和A/C的值，B/C的值自然就得到了。在第二轮中可以尝试一下，会比BFS快很多很多",√,,https://leetcode-cn.com/problems/evaluate-division/
424,替换后的最长重复字符,双指针、滑动窗口,medium,给你一个仅由大写英文字母组成的字符串，你可以将任意位置上的字符替换成另外的字符，总共可最多替换 k 次。在执行上述操作后，找到包含重复字母的最长子串的长度。,"其实关键是找到替换谁和保留谁的问题，要想子串长度最大，那么保留的一定是出现次数最多的，其他的是需要被替换的。
双指针实现滑动窗口，快指针一直往前走，直到k次替换不够用了，慢指针跟上，直到k次替换够用为止。",√√,,https://leetcode-cn.com/problems/longest-repeating-character-replacement/
426,将二叉搜索树转化为排序的双向链表,树、链表、分治法,medium,将一个BST原地转化为一个已排序的双向循环链表，将左右孩子节点作为链表节点的前驱和后继指针。,实际上很简单，正常先把迭代版本的中序遍历写出来，再记录下lastVisited，将当前节点的左指针指向lastVisited，lastVisited的右指针指向当前节点，以此类推，这样就行了。 当然DummyHead大法还是要用的，最后别忘了成环，返回DummyHead->next就行了。,√√,,https://leetcode-cn.com/problems/convert-binary-search-tree-to-sorted-doubly-linked-list/
454,四数相加,哈希表、二分查找,medium,"给定四个包含整数的数组列表 A , B , C , D ,计算有多少个元组 (i, j, k, l) ，使得 A[i] + B[j] + C[k] + D[l] = 0。","1. 将AB中的两两之和存下，将CD中两两之和存下，就转换为了两数之和问题。O(n^2)
2. 二分查找不知道怎么做",√,,https://leetcode-cn.com/problemset/top/?difficulty=%E4%B8%AD%E7%AD%89
560,和为K的子数组,数组、哈希表,medium,给定一个整数数组和一个整数 k，你需要找到该数组中和为 k 的连续的子数组的个数。,"O(n)时间：
使用哈希表存储前缀和，当sum-k存在于哈希表中时，说明存在一个符合要求的子数组。
解释：
当前数字为num[i], 累和为Si = num[0] + num[1] +…+num[i], 若存在一个num[j]使得sum-k = Sj, 则num[j] + num[j+1] +…+num[i]为符合要求的子数组",√,,https://leetcode-cn.com/problems/subarray-sum-equals-k/
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
4,寻找两个有序数组的中位数,二分查找,hard,Rt,"二分查找
我们比较两个数组的第 k/2 个数字，如果 k 是奇数，向下取整。如果哪个小，就表明该数组的前 k/2 个数字都不是第 k 小数字，所以可以排除。
",×,,
23,合并K个排序链表,堆、链表、分治法,hard,链接：https://leetcode-cn.com/problems/4sum,"1. 尝试了直接的多路归并，O(Nlogk)
2. 优先队列，也是O(Nlogk)",√,,https://leetcode-cn.com/problems/merge-k-sorted-lists/
25,K个一组反转链表,链表,hard,给你一个链表，每 k 个节点一组进行翻转，请你返回翻转后的链表。,"设置一个dummyHead, k个k个的读，截取出来，单独翻转，题目不难，但是需要十分小心",√√,,https://leetcode-cn.com/problems/reverse-nodes-in-k-group/
42,接雨水,栈、数组、双指针,hard,来源：力扣（LeetCode）,"栈的巧妙应用。想起来有点复杂。
1. 按顺序遍历每颗柱子
2. 当前柱子高度小于或等于栈顶柱子高度，把下标压入栈中（为了计算宽度用）
3. 当前柱子高度大于栈顶柱子高度，将栈顶元素弹出，获取其高度，该高度即为洼地的高度，蓄水量=宽*高，这里的高是该洼地两边的最小高度，宽则是两边下标的差值。然后继续循环检查，直到栈空或栈顶柱子高度小于等于当前柱子高度（没有洼地了）",×,,https://leetcode-cn.com/problems/trapping-rain-water/
45,跳跃游戏II,贪心算法,hard,每次最多跳x步，找到跳到终点的最少步数,其实不是动态规划，直接贪心就可以。,√√,,
76,最小覆盖字串,哈希表、双指针、字符串、滑动窗口,hard,,,,,
84,柱状图中的最大矩形,栈、分治法,hard,"给定 n 个非负整数，用来表示柱状图中各个柱子的高度。每个柱子彼此相邻，且宽度为 1 。
求在该柱状图中，能够勾勒出来的矩形的最大面积。
","维护一个单调递增的栈，当当前元素比栈顶元素小时计算当前面积。栈中存下标。
跟接雨水那道题非常相似",×,,https://leetcode-cn.com/problems/largest-rectangle-in-histogram/
124,二叉树中的最大路径和,树、DFS,hard,著作权归领扣网络所有。商业转载请联系官方授权，非商业转载请注明出处。,"可以直接上递归，递归计算左右两子树能带来的最大收益。
1. 包含当前节点的路径的最大和 = max(根值+左侧最大收益+右侧最大收益， 根值+左侧最大收益，根植+右侧最大收益).  
2. 当前节点能为父节点带去的最大收益 = max(根值， 根值+左侧最大收益，根植+右侧最大收益)",√√,,https://leetcode-cn.com/problems/binary-tree-maximum-path-sum/
128,最长连续序列,并查集,hard,,,,,
149,直线上最多的点数,哈希表、数学,hard,,根据点斜式，循环遍历所有的点，对每个点，找到以该点出发，斜率相同的点的数量，存到hashMap里，最后找最大值即可。,√,,https://leetcode-cn.com/problems/max-points-on-a-line/
269,火星词典,拓扑排序,hard,"现有一种使用字母的全新语言，这门语言的字母顺序与英语顺序不同。
假设，您并不知道其中字母之间的先后顺序。但是，会收到词典中获得一个 不为空的 单词列表。因为是从词典中获得的，所以该单词列表内的单词已经 按这门新语言的字母顺序进行了排序。
您需要根据这个输入的列表，还原出此语言中已知的字母顺序。","1. 首先根据所给词，构建出图，将单词纵向对比，根据对应位置的先后出现的顺序构造出有向无环图.
2. 进行拓扑排序，如果拓扑排序后的结果的长度小于词典中单词的数量，则说明图中有环，返回个空，否则返回排序结果",√√,,https://leetcode-cn.com/problems/alien-dictionary/
287,二叉树的序列化与反序列化,设计,hard,请设计一个算法来实现二叉树的序列化与反序列化。这里不限定你的序列 / 反序列化算法执行逻辑，你只需要保证一个二叉树可以被序列化为一个字符串并且将这个字符串反序列化为原始的树结构。,"1. 序列化：直接DFS先序递归，注意要把NULL也输出到字符串
2. 反序列化：c++没有split有点坑，需要手动处理字符串转化成vector<string>，然后再用DFS一样的办法递归，递归期间持续把index往后挪，保证每个节点只被读取一次。",√,,https://leetcode-cn.com/problems/serialize-and-deserialize-binary-tree/
295,数据流的中位数,堆,hard,"设计一个支持以下两种操作的数据结构：
void addNum(int num) - 从数据流中添加一个整数到数据结构中。
double findMedian() - 返回目前所有元素的中位数。",方法：两个堆，一个是用来存中位数左边一半元素的最大堆，一个是用来存中位数右边一半元素的最小堆。中位数即为最大堆顶和最小对顶里取,×,,https://leetcode-cn.com/problems/find-median-from-data-stream/
301,删除无效的括号,DFS、BFS,hard,删除最小数量的无效括号，使得输入的字符串有效，返回所有可能的结果。,"步骤：
1. 先算出有多少个错位的左括号和右括号（一次扫描即可算出）
2. 带条件的回溯，算出所有可能的结果",√√,,https://leetcode-cn.com/problems/remove-invalid-parentheses/
381,O(1)时间插入、删除和获取随机元素,设计,hard,Rt,"这里有一个很巧妙的办法是，用一个
unordered_map<int, unordered_set<int>> 存每个元素对应的Index集合；再用一个vector存所有实际的数，以便随机查找用；
关键是在删除的时候，这里用了尾部元素去替换要删的元素，因为存了index，可以O(1)时间找到，然后再删除冗余的尾部元素，依然O(1)",×,,https://leetcode-cn.com/problems/insert-delete-getrandom-o1-duplicates-allowed/
458,可怜的小猪,数学,hard,,,,,
862,和至少为K的最短子数组,栈,hard,返回 A 的最短的非空连续子数组的长度，该子数组的和至少为 K 。,"1. 存储一个前缀和数组。
2. 使用一个双端队列（其实就是一个滑动窗口，可以在两端添加或删除数）.
",×,,https://leetcode-cn.com/problems/shortest-subarray-with-sum-at-least-k/
